index,simplified,traditional,pinyin,definition,examples,hsk_level,traditional_variants,radical_index,pinyin2,pinyin3,numbered_pinyin,numbered_pinyin2,numbered_pinyin3
0,的,的,de,"[""aim"",""goal"",""of"",""possessive particle"",""-self suffix""]","[{""chinese"":""真的？"",""english"":""Really?""},{""chinese"":""真的？"",""english"":""Seriously?""},{""chinese"":""真的？"",""english"":""No kidding?""}]",1,,106,,,de,,
1,了,了,le,"[""clear"",""to finish"",""particle of completed action""]","[{""chinese"":""太棒了"",""english"":""Awesome.""},{""chinese"":""算了。"",""english"":""Forget it.""},{""chinese"":""春天了"",""english"":""It's spring.""}]",1,"[""瞭""]",6,liǎo,,le,liao3,
2,在,在,zài,"[""at"",""in"",""on"",""to exist"",""used to indicate the present progressive tense""]","[{""chinese"":""我在家。"",""english"":""I'm at home.""},{""chinese"":""我在家。"",""english"":""I am at home.""},{""chinese"":""在下雨。"",""english"":""It's raining.""}]",1,,32,,,zai4,,
3,是,是,shì,"[""to be"",""indeed"",""right"",""yes"",""okay""]","[{""chinese"":""是我。"",""english"":""It's me.""},{""chinese"":""是你吗？"",""english"":""Is it you?""},{""chinese"":""她是谁？"",""english"":""Who's she?""}]",1,,72,,,shi4,,
4,我,我,wǒ,"[""I"",""me"",""my"",""our"",""us""]","[{""chinese"":""是我。"",""english"":""It's me.""},{""chinese"":""吻我。"",""english"":""Kiss me.""},{""chinese"":""我冷。"",""english"":""I'm cold.""}]",1,,62,,,wo3,,
5,一,一,yī,"[""one"",""a"",""an"",""alone""]","[{""chinese"":""等一下！"",""english"":""Wait!""},{""chinese"":""等一下！"",""english"":""Hang on!""},{""chinese"":""慢一點。"",""english"":""Slow down.""}]",1,,1,,,yi1,,
6,有,有,yǒu,"[""to have"",""to own"",""to possess"",""to exist""]","[{""chinese"":""有信念。"",""english"":""Have faith.""},{""chinese"":""有用嗎？"",""english"":""Did it help?""},{""chinese"":""我有酒。"",""english"":""I have wine.""}]",1,,74,,,you3,,
7,他,他,tā,"[""other"",""another"",""he"",""she"",""it""]","[{""chinese"":""他跑。"",""english"":""He runs.""},{""chinese"":""他高。"",""english"":""He is tall.""},{""chinese"":""他跑了。"",""english"":""He ran.""}]",1,,9,,,ta1,,
8,这,這,zhè,"[""this"",""these"",""such"",""here""]","[{""chinese"":""念这个。"",""english"":""Read this.""},{""chinese"":""这很软。"",""english"":""That's soft.""},{""chinese"":""这很棒。"",""english"":""This is neat.""}]",1,,162,,,zhe4,,
9,个,個,gè,"[""this"",""that"",""single"",""measure word for individuals""]","[{""chinese"":""念这个。"",""english"":""Read this.""},{""chinese"":""听这个！"",""english"":""Listen to this!""},{""chinese"":""我个子高。"",""english"":""I'm tall.""}]",1,,2,,,ge4,,
10,和,和,hé,"[""harmony"",""peace"",""calm"",""peaceful""]","[{""chinese"":""和气点。"",""english"":""Be nice.""},{""chinese"":""和我握手。"",""english"":""Shake my hand.""},{""chinese"":""天氣暖和。"",""english"":""It was a warm day.""}]",1,,30,,,he2,,
11,不,不,bù,"[""no"",""not"",""un-"",""negative prefix""]","[{""chinese"":""不对。"",""english"":""It's wrong.""},{""chinese"":""不对。"",""english"":""That's wrong.""},{""chinese"":""不对。"",""english"":""It's not right.""}]",1,,1,,,bu4,,
12,就,就,jiù,"[""just"",""simply"",""to go to"",""to approach"",""near""]","[{""chinese"":""現在就做。"",""english"":""Do it now.""},{""chinese"":""一切就绪。"",""english"":""Everything's ready.""},{""chinese"":""一切就绪。"",""english"":""Everything is ready.""}]",1,,43,,,jiu4,,
13,也,也,yě,"[""also"",""both ... and ..."",""particle having functions similar to 啊""]","[{""chinese"":""我也去了。"",""english"":""I also went.""},{""chinese"":""我也去了。"",""english"":""I went, too.""},{""chinese"":""我也哭了。"",""english"":""I cried, too.""}]",1,,5,,,ye3,,
14,人,人,rén,"[""person"",""people"",""CL:個|个,位""]","[{""chinese"":""烦死人。"",""english"":""What a pain!""},{""chinese"":""真烦人。"",""english"":""How annoying!""},{""chinese"":""你是人。"",""english"":""You're a person.""}]",1,,9,,,ren2,,
15,你,你,nǐ,"[""you"",""second person pronoun""]","[{""chinese"":""你好。"",""english"":""Hi.""},{""chinese"":""你好。"",""english"":""Hello!""},{""chinese"":""你跑。"",""english"":""You run.""}]",1,,9,,,ni3,,
16,说,說,shuō,"[""to speak"",""to say"",""to scold"",""to upbraid""]","[{""chinese"":""别说谎!"",""english"":""Don't tell lies.""},{""chinese"":""我能说。"",""english"":""I'm able to speak.""},{""chinese"":""别胡说。"",""english"":""Don't talk rubbish.""}]",1,,149,,,shuo1,,
17,们,們,men,"[""plural marker for pronouns, and nouns referring to individuals""]","[{""chinese"":""联系我们。"",""english"":""Call us.""},{""chinese"":""我们知道。"",""english"":""We know.""},{""chinese"":""他们赢了。"",""english"":""They won.""}]",1,,9,,,men,,
18,上,上,shàng,"[""above"",""on top"",""superior"",""to go up"",""to attend"",""previous""]","[{""chinese"":""上马。"",""english"":""Get on the horse.""},{""chinese"":""上楼。"",""english"":""Go up the stairs.""},{""chinese"":""请上船！"",""english"":""All aboard!""}]",1,,1,,,shang4,,
19,都,都,dōu,"[""all"",""each"",""entirely"",""whole"",""metropolis"",""capital""]","[{""chinese"":""都给我。"",""english"":""Give me everything.""},{""chinese"":""人人都好。"",""english"":""Everybody is fine.""},{""chinese"":""您全都有。"",""english"":""You have everything.""}]",1,,170,,,dou1,,
20,对,對,duì,"[""correct"",""right"",""facing"",""opposed""]","[{""chinese"":""对！"",""english"":""That's right.""},{""chinese"":""不对。"",""english"":""It's wrong.""},{""chinese"":""不对。"",""english"":""That's wrong.""}]",1,,41,,,dui4,,
21,要,要,yào,"[""essential"",""necessary"",""to ask for"",""to coerce"",""to demand""]","[{""chinese"":""要守时！"",""english"":""Be on time.""},{""chinese"":""不要动。"",""english"":""Don't move.""},{""chinese"":""要守时！"",""english"":""Be punctual.""}]",1,,146,,,yao4,,
22,点,點,diǎn,"[""point"",""dot"",""drop""]","[{""chinese"":""快点！"",""english"":""Hurry up.""},{""chinese"":""快点。"",""english"":""Make it quick.""},{""chinese"":""冷静点。"",""english"":""Be calm.""}]",1,,86,,,dian3,,
23,到,到,dào,"[""to reach"",""to arrive"",""to leave for""]","[{""chinese"":""他刚到。"",""english"":""He just arrived.""},{""chinese"":""找到汤姆。"",""english"":""Get Tom.""},{""chinese"":""我做到了！"",""english"":""I did it.""}]",1,,18,,,dao4,,
24,多,多,duō,"[""much"",""many"",""multi-"",""more than"",""over""]","[{""chinese"":""多怪啊！"",""english"":""How weird!""},{""chinese"":""多怪啊！"",""english"":""How curious!""},{""chinese"":""多美啊！"",""english"":""How beautiful!""}]",1,,36,,,duo1,,
25,会,會,huì,"[""to assemble"",""to meet"",""meeting"",""association"",""group""]","[{""chinese"":""幸会。"",""english"":""It's a privilege to meet you.""},{""chinese"":""幸会。"",""english"":""It is a privilege to meet you.""},{""chinese"":""不会吧。"",""english"":""Oh no!""}]",1,,9,,,hui4,,
26,着,著,zhe,"[""to wear"",""to contact"",""to use""]","[{""chinese"":""听着。"",""english"":""Listen.""},{""chinese"":""看着我"",""english"":""Watch me.""},{""chinese"":""趴着！"",""english"":""Stay down!""}]",1,,109,,,zhe,,
27,来,來,lái,"[""to arrive"",""to come"",""to return"",""in the future"",""later on""]","[{""chinese"":""进来。"",""english"":""Come in.""},{""chinese"":""进来。"",""english"":""Come on in.""},{""chinese"":""进来。"",""english"":""Come inside.""}]",1,,75,,,lai2,,
28,她,她,tā,"[""she"",""her""]","[{""chinese"":""她跑。"",""english"":""She runs.""},{""chinese"":""她吃。"",""english"":""She is eating.""},{""chinese"":""她哭了。"",""english"":""She cried.""}]",1,,38,,,ta1,,
29,还,還,hái,"[""also"",""besides"",""still"",""yet"",""to return""]","[{""chinese"":""还回去"",""english"":""Give it back.""},{""chinese"":""我还很困。"",""english"":""I'm still sleepy.""},{""chinese"":""你还冷吗？"",""english"":""Are you still cold?""}]",1,,162,,,hai2,,
30,没,沒,méi,"[""not"",""none"",""gone"",""to bury"",""to sink"",""to drown""]","[{""chinese"":""没门！"",""english"":""No way!""},{""chinese"":""没事。"",""english"":""No problem.""},{""chinese"":""没关系。"",""english"":""It's OK.""}]",1,,85,,,mei2,,
31,很,很,hěn,"[""quite"",""very"",""awfully""]","[{""chinese"":""很棒！"",""english"":""Terrific!""},{""chinese"":""很棒！"",""english"":""Fantastic!""},{""chinese"":""很棒！"",""english"":""Wonderful!""}]",1,,60,,,hen3,,
32,好,好,hǎo,"[""good"",""excellent"",""fine"",""proper"",""suitable"",""well""]","[{""chinese"":""你好。"",""english"":""Hi.""},{""chinese"":""你好。"",""english"":""Hello!""},{""chinese"":""好棒！"",""english"":""Awesome!""}]",1,,38,,,hao3,,
33,中,中,zhōng,"[""central"",""center"",""middle"",""amidst"",""to hit (target)"",""to attain""]","[{""chinese"":""我中奖了。"",""english"":""I won the lottery.""},{""chinese"":""她讲中文。"",""english"":""She speaks Chinese.""},{""chinese"":""她在节食中。"",""english"":""She's dieting.""}]",1,,2,,,zhong1,,
34,年,秊,nián,"[""year"",""anniversary"",""a person's age""]","[{""chinese"":""我還年輕。"",""english"":""I'm young.""},{""chinese"":""新年快樂！"",""english"":""Happy New Year!""},{""chinese"":""我還年輕。"",""english"":""I'm still young.""}]",1,"[""年""]",51,,,nian2,,
35,大,大,dà,"[""big"",""great"",""vast"",""high"",""deep""]","[{""chinese"":""大家好！"",""english"":""Hi, everybody.""},{""chinese"":""它很大。"",""english"":""It's very big.""},{""chinese"":""鎖大門。"",""english"":""Lock the gate.""}]",1,,37,,,da4,,
36,给,給,gěi,"[""to give"",""to lend"",""for"",""by""]","[{""chinese"":""都给我。"",""english"":""Give me everything.""},{""chinese"":""把书给我。"",""english"":""Give me the book.""},{""chinese"":""请给我盐。"",""english"":""Pass me the salt.""}]",1,,120,,,gei3,,
37,从,從,cóng,"[""from"",""by"",""since"",""whence"",""through""]","[{""chinese"":""从那儿下来！"",""english"":""Get down from there.""},{""chinese"":""他从英国来。"",""english"":""He comes from England.""},{""chinese"":""它从哪里来？"",""english"":""Where did it come from?""}]",1,,9,,,cong2,,
38,看,看,kàn,"[""to look"",""to see"",""to examine"",""to scrutinize""]","[{""chinese"":""看着我"",""english"":""Watch me.""},{""chinese"":""看着我"",""english"":""Look at me.""},{""chinese"":""仔細看"",""english"":""Look closely.""}]",1,,109,,,kan4,,
