index,simplified,traditional,traditionalVariants,pinyin,pinyin2,pinyin3,numberedPinyin,numberedPinyin2,numberedPinyin3,radicalIndex,hskLevel,lesson,definition,examples,wordExamples
0,的,的,,de,dí,,de,di2,,106,1,,possessive particle | descriptive particle | particle indicating a quality or attribute | target particle,"[{""chinese"": ""这是我的书。"", ""english"": ""This is my book.""}, {""chinese"": ""他是一个聪明的学生。"", ""english"": ""He is a smart student.""}, {""chinese"": ""你想要的是什么？"", ""english"": ""What is it that you want?""}]","[{""word"": ""的确"", ""pinyin"": ""díquè"", ""meaning"": ""indeed | certainly | definitely""}, {""word"": ""目的"", ""pinyin"": ""mùdì"", ""meaning"": ""aim | goal | objective""}, {""word"": ""有目的的"", ""pinyin"": ""yǒumùdì de"", ""meaning"": ""purposeful | deliberate""}]"
1,了,了,瞭,le,liǎo,,le5 or liao3,liao3,,6,1,,particle indicating completed action or change of state | to finish | to understand (liǎo),"[{""chinese"": ""我已经吃了饭了。"", ""english"": ""I've already eaten.""}, {""chinese"": ""天气变热了。"", ""english"": ""The weather has become hot.""}, {""chinese"": ""他明白了你的意思。"", ""english"": ""He understood what you meant.""}]","[{""word"": ""完了"", ""pinyin"": ""wánle"", ""meaning"": ""it's over | finished | done for""}, {""word"": ""算了"", ""pinyin"": ""suànle"", ""meaning"": ""forget it | never mind""}, {""word"": ""了解"", ""pinyin"": ""liǎojiě"", ""meaning"": ""to understand | to know about""}]"
2,在,在,,zài,,,zai4,,,32,1,,at | in | on | to be located | to exist | progressive aspect marker,"[{""chinese"": ""我的钥匙在桌子上。"", ""english"": ""My keys are on the table.""}, {""chinese"": ""现在正在下雨。"", ""english"": ""It is raining right now.""}, {""chinese"": ""他们在开会。"", ""english"": ""They are in a meeting.""}]","[{""word"": ""在于"", ""pinyin"": ""zaìyú"", ""meaning"": ""to lie in | to consist in | to depend on""}, {""word"": ""现在"", ""pinyin"": ""xiànzài"", ""meaning"": ""now | at present | current""}, {""word"": ""存在"", ""pinyin"": ""cúnzài"", ""meaning"": ""to exist | to be present""}]"
3,是,是,,shì,,,shi4,,,72,1,,to be | am | is | are | indicates identity or equation,"[{""chinese"": ""我是一名教师。"", ""english"": ""I am a teacher.""}, {""chinese"": ""这是对的做法。"", ""english"": ""This is the right way to do it.""}, {""chinese"": ""今天是星期一。"", ""english"": ""Today is Monday.""}]","[{""word"": ""是的"", ""pinyin"": ""shìde"", ""meaning"": ""yes | that's right""}, {""word"": ""不是"", ""pinyin"": ""búshì"", ""meaning"": ""is not | am not | are not""}, {""word"": ""就是"", ""pinyin"": ""jiùshì"", ""meaning"": ""exactly | precisely | it is""}]"
4,我,我,,wǒ,,,wo3,,,62,1,,I | me | my | we | us (first-person pronoun),"[{""chinese"": ""我喜欢看电影。"", ""english"": ""I enjoy watching movies.""}, {""chinese"": ""我的梦想是成为医生。"", ""english"": ""My dream is to become a doctor.""}, {""chinese"": ""你认识我吗？"", ""english"": ""Do you know me?""}]","[{""word"": ""我们"", ""pinyin"": ""wǒmen"", ""meaning"": ""we | us | our""}, {""word"": ""我的"", ""pinyin"": ""wǒ de"", ""meaning"": ""mine | my""}, {""word"": ""我自己"", ""pinyin"": ""wǒ zìjǐ"", ""meaning"": ""myself | I myself""}]"
5,一,一,,yī,yí,,yi1,yi2,,1,1,,one | a | an | alone,"[{""chinese"": ""我一个人住在这里。"", ""english"": ""I live here alone.""}, {""chinese"": ""请等一下，我马上来。"", ""english"": ""Wait a moment, I'll be right there.""}, {""chinese"": ""他们一起去了电影院。"", ""english"": ""They went to the cinema together.""}]","[{""word"": ""一样"", ""pinyin"": ""yīyàng"", ""meaning"": ""same / identical""}, {""word"": ""一直"", ""pinyin"": ""yīzhí"", ""meaning"": ""always / continuously / straight""}, {""word"": ""一点"", ""pinyin"": ""yīdiǎn"", ""meaning"": ""a little / a bit""}]"
6,有,有,,yǒu,,,you3,,,74,1,,to have | to own | to possess | to exist,"[{""chinese"": ""你有没有看过这部电影？"", ""english"": ""Have you ever watched this movie?""}, {""chinese"": ""这个公司有很多员工。"", ""english"": ""This company has many employees.""}, {""chinese"": ""房间里有一张床和一张桌子。"", ""english"": ""There is a bed and a desk in the room.""}]","[{""word"": ""有名"", ""pinyin"": ""yǒumíng"", ""meaning"": ""famous / well-known""}, {""word"": ""有时"", ""pinyin"": ""yǒushí"", ""meaning"": ""sometimes / occasionally""}, {""word"": ""所有"", ""pinyin"": ""suǒyǒu"", ""meaning"": ""all / every""}]"
7,他,他,,tā,,,ta1,,,9,1,,he | him | other | another,"[{""chinese"": ""他是我的最好朋友。"", ""english"": ""He is my best friend.""}, {""chinese"": ""我跟他一起学习中文。"", ""english"": ""I study Chinese together with him.""}, {""chinese"": ""他们三个人都很聪明。"", ""english"": ""All three of them are very smart.""}]","[{""word"": ""他人"", ""pinyin"": ""tārén"", ""meaning"": ""other people / others""}, {""word"": ""他们"", ""pinyin"": ""tāmen"", ""meaning"": ""they / them""}, {""word"": ""其他"", ""pinyin"": ""qītā"", ""meaning"": ""other / else / different""}]"
8,这,這,,zhè,,,zhe4,,,162,1,,this | these | such | here,"[{""chinese"": ""这个问题很复杂，需要仔细思考。"", ""english"": ""This problem is complex and requires careful thought.""}, {""chinese"": ""我喜欢这种风格的衣服。"", ""english"": ""I like this style of clothing.""}, {""chinese"": ""这是我第一次来北京。"", ""english"": ""This is my first time in Beijing.""}]","[{""word"": ""这样"", ""pinyin"": ""zhèyàng"", ""meaning"": ""this way / like this / so""}, {""word"": ""这里"", ""pinyin"": ""zhèlǐ"", ""meaning"": ""here / this place""}, {""word"": ""这么"", ""pinyin"": ""zhème"", ""meaning"": ""so / such / this much""}]"
9,个,個,,gè,,,ge4,,,2,1,,measure word for individuals / single / that,"[{""chinese"": ""我买了三个苹果和五个橙子。"", ""english"": ""I bought three apples and five oranges.""}, {""chinese"": ""他有一个很好的想法。"", ""english"": ""He has a very good idea.""}, {""chinese"": ""我个子不太高，大概一米七。"", ""english"": ""I'm not very tall, around 1.7 meters.""}]","[{""word"": ""个子"", ""pinyin"": ""gèzi"", ""meaning"": ""height / stature""}, {""word"": ""每个"", ""pinyin"": ""měigè"", ""meaning"": ""each / every""}, {""word"": ""那个"", ""pinyin"": ""nàgè"", ""meaning"": ""that / that one""}]"
